Subject,Session,Axis,Run,Plate,S,rxy
P0003,20230927164642,sag,,0,-0.9631877600707524,-0.01117863850535638
P0003,20230927164642,cor,,0,-1.0004662563004538,-0.004913896406460186
P0003,20230927164642,axi,1,0,-1.048068247392666,-0.032503941969377816
P0003,20230927164642,axi,1,1,-1.0321961835979891,0.016000049188733052
P0003,20230927164642,axi,1,2,-1.0488362521147916,0.015490159844781602
P0003,20230927164642,axi,2,0,-1.048068247392666,-0.032503941969377816
P0003,20230927164642,axi,2,1,-1.0321961835979891,0.016000049188733052
P0003,20230927164642,axi,2,2,-1.0488362521147916,0.015490159844781602
P0003,20230928180538,sag,,0,-0.9632643425742744,-0.011176864687159414
P0003,20230928180538,cor,,0,-1.001106418138082,-0.004255859362794578
P0003,20230928180538,axi,1,0,-1.048068247392666,-0.032503941969377816
P0003,20230928180538,axi,1,1,-1.0321961835979891,0.016000049188733052
P0003,20230928180538,axi,1,2,-1.0488362521147916,0.015490159844781602
P0003,20230928180538,axi,2,0,-1.048068247392666,-0.032503941969377816
P0003,20230928180538,axi,2,1,-1.0321961835979891,0.016000049188733052
P0003,20230928180538,axi,2,2,-1.0506566906425416,0.017239503947112877
P0003,20231003162834,sag,,0,-0.9632320080684038,-0.011178130060874453
P0003,20231003162834,cor,,0,-0.9981235805022239,-0.005446840852522523
P0003,20231003162834,axi,1,0,-1.048068247392666,-0.032503941969377816
P0003,20231003162834,axi,1,1,-1.0321961835979891,0.016000049188733052
P0003,20231003162834,axi,1,2,-1.0488362521147916,0.015490159844781602
P0003,20231003162834,axi,2,0,-1.0475050370484043,-0.03409528048258923
P0003,20231003162834,axi,2,1,-1.0321961835979891,0.016000049188733052
P0003,20231003162834,axi,2,2,-1.0488362521147916,0.015490159844781602
P0003,20231004161510,sag,,0,-0.9631877600707524,-0.01117863850535638
P0003,20231004161510,cor,,0,-1.0026940234355726,-0.007307836507388598
P0003,20231004161510,axi,1,0,-1.048068247392666,-0.032503941969377816
P0003,20231004161510,axi,1,1,-1.0321961835979891,0.016000049188733052
P0003,20231004161510,axi,1,2,-1.062167003610992,0.015461618209294745
P0003,20231004161510,axi,2,0,-1.0546143413945284,-0.037026669915871425
P0003,20231004161510,axi,2,1,-1.0321961835979891,0.016000049188733052
P0003,20231004161510,axi,2,2,-1.0621778635229715,0.018833992199345798
P0003,20231005183315,sag,,0,-0.9616294075758889,-0.007642971821622303
P0003,20231005183315,cor,,0,-0.9993491664146987,-0.005104231378602234
P0003,20231005183315,axi,1,0,-1.0532315990131889,-0.02836122434295115
P0003,20231005183315,axi,1,1,1.0321961835979891,0.0
P0003,20231005183315,axi,1,2,-1.048777087549414,0.02224482988300698
P0003,20231005183315,axi,2,0,-1.0570847832326569,-0.04531582977361566
P0003,20231005183315,axi,2,1,1.0321961835979891,0.0
P0003,20231005183315,axi,2,2,-1.0505547827530746,0.01886388787576916
P0003,20231009170558,sag,,0,-0.9690850530561471,0.003288309159446348
P0003,20231009170558,cor,,0,-1.0039668445477012,-0.010908557724549892
P0003,20231009170558,axi,1,0,-1.0378351961854653,-0.037129583938413493
P0003,20231009170558,axi,1,1,-1.032319511550561,0.0027213402674081
P0003,20231009170558,axi,1,2,-1.0553052345593308,0.025398261064590512
P0003,20231009170558,axi,2,0,-1.0451461414709076,-0.02394434869543631
P0003,20231009170558,axi,2,1,-1.032319511550561,0.0027213402674081
